ASFIndex,DATE,TIME,E,N,KP,DEPTH,ALT,GYRO,PITCH,ROLL,CP,FG,DCC
01:00.9,3/5/2019,12:25:38,249130.53,947825.42,64.403,119.3,50,310.1,3,-4.7,-1055,-6,3.156
01:01.9,3/5/2019,12:25:39,249130.51,947825.45,64.403,119.3,27.4,309.9,2.8,-4.9,-1055,-6,3.154
01:02.9,3/5/2019,12:25:40,249130.23,947825.11,64.403,119.7,50,309.8,2.6,-2.9,-1055,-6,2.722
01:03.9,3/5/2019,12:25:41,249130.21,947825.18,64.403,119.5,50,309.7,2.6,-2,-1055,-3,2.752
01:04.9,3/5/2019,12:25:42,249130.71,947825.91,64.403,119.3,33.2,309.8,2.4,-2.8,-1055,-3,3.593
01:05.9,3/5/2019,12:25:43,249130.68,947825.9,64.403,119.8,27.2,309.8,2.7,-4,-1055,-3,3.563
01:06.9,3/5/2019,12:25:44,249130.9,947825.93,64.403,119.2,46.2,309.8,2.6,-4,-1056,0,3.758
01:07.9,3/5/2019,12:25:45,249130.52,947825.33,64.403,118.8,50,309.8,2.2,-3.6,-1056,0,3.083
01:08.9,3/5/2019,12:25:46,249130.49,947825.34,64.403,122,50,309.7,1.4,-3.4,-1056,-3,3.072
01:09.9,3/5/2019,12:25:47,249130.45,947825.31,64.403,120.1,0.8,309.6,-1.7,-2.4,-1056,-3,3.021
01:10.9,3/5/2019,12:25:48,249130.42,947825.34,64.403,120.2,0.7,310.2,-4.9,-1.1,-1056,0,3.015
01:11.9,3/5/2019,12:25:49,249130.29,947826.05,64.404,119.6,0.8,312.1,-7.3,-0.7,-1056,0,3.349
01:12.9,3/5/2019,12:25:50,249130.32,947826.06,64.404,120.4,0.9,313.1,-7.2,-2.3,-1056,0,3.381
01:13.9,3/5/2019,12:25:51,249130.68,947826.13,64.404,120,0.8,313.3,-5.8,-3.1,-1056,0,3.708
01:14.9,3/5/2019,12:25:52,249130.65,947826.1,64.404,119.6,0.8,312.4,-4.7,-1.7,-1056,0,3.664
01:15.9,3/5/2019,12:25:53,249130.42,947825.83,64.403,120.1,0.8,311.2,-4.9,-0.7,-1056,0,3.321
01:16.9,3/5/2019,12:25:54,249130.4,947825.84,64.404,119.2,0.8,311.1,-5.7,-1.8,-1056,0,3.304
01:17.9,3/5/2019,12:25:55,249129.98,947825.64,64.404,119.8,0.7,311.7,-5.2,-3.1,-1056,0,2.857
01:18.9,3/5/2019,12:25:56,249130.49,947825.87,64.403,119.8,0.7,311.2,-3.5,-3.1,-1055,0,3.398
01:19.9,3/5/2019,12:25:57,249130.51,947825.9,64.403,119.3,0.8,309.8,0.6,-2.6,-1055,-3,3.431
01:20.9,3/5/2019,12:25:58,249130.93,947826.44,64.404,119.5,0.7,309.3,1.6,-4,-1055,-3,4.094
01:21.9,3/5/2019,12:25:59,249130.91,947826.4,64.404,119.7,0.7,308.8,1.7,-5.8,-1055,-6,4.059
01:22.9,3/5/2019,12:26:00,249130.84,947826.08,64.403,119.3,0.7,308.4,2.6,-5.2,-1055,-3,3.799
01:23.9,3/5/2019,12:26:01,249130.81,947826.05,64.403,119.8,23.4,308.1,2.2,-4.6,-1056,-3,3.757
01:24.9,3/5/2019,12:26:02,249130.14,947825.57,64.403,119.7,22.8,308.1,2.1,-4.8,-1056,-6,2.933
01:25.9,3/5/2019,12:26:03,249130.16,947825.53,64.403,119.1,0.7,308.2,2.1,-4.9,-1056,-3,2.928
01:26.9,3/5/2019,12:26:04,249130.24,947825.59,64.403,119.7,22.9,308.2,2.1,-4.9,-1056,-3,3.027
01:27.9,3/5/2019,12:26:05,249130.31,947825.63,64.403,119.6,0.7,308.2,2.1,-4.6,-1055,0,3.107
01:28.9,3/5/2019,12:26:06,249131.02,947826.07,64.403,119.4,0.7,308.3,2.1,-4.1,-1056,0,3.943
01:29.9,3/5/2019,12:26:07,249130.48,947826.3,64.404,120.3,18.4,308.7,1.7,-4.1,-1056,0,3.649
01:30.9,3/5/2019,12:26:08,249130.47,947826.29,64.404,121,0.8,309.4,0.3,-2.9,-1056,0,3.641
01:31.9,3/5/2019,12:26:09,249129.95,947826,64.404,120.3,0.7,310.6,-2.8,-1.3,-1056,0,3.049
01:32.9,3/5/2019,12:26:10,249130.03,947825.99,64.404,120.5,0.7,312.5,-5.8,-0.8,-1056,0,3.111
01:33.9,3/5/2019,12:26:11,249130.04,947825.84,64.404,120.3,0.7,313.7,-7.5,-1.7,-1056,0,3.024
01:34.9,3/5/2019,12:26:12,249130.07,947825.83,64.404,120.1,0.8,313.8,-7.3,-1.5,-1055,0,3.037
01:35.9,3/5/2019,12:26:13,249130.14,947826.58,64.404,120.6,0.8,313.1,-6,-1.2,-1055,0,3.56
01:36.9,3/5/2019,12:26:14,249130.17,947826.59,64.404,120.1,0.8,312.4,-5.6,-1.1,-1055,0,3.587
01:37.9,3/5/2019,12:26:15,249129.86,947826.7,64.405,120.8,0.8,311.7,-5.5,-1.2,-1055,0,3.41
01:38.9,3/5/2019,12:26:16,249129.61,947826.71,64.405,121.6,0.8,311.4,-5.5,-0.6,-1055,0,3.218
01:39.9,3/5/2019,12:26:17,249129.62,947826.67,64.405,119.8,0.7,311.2,-5.8,-0.7,-1055,0,3.202
01:40.9,3/5/2019,12:26:18,249129.6,947826.96,64.405,120,0.7,311.4,-5.9,-0.4,-1055,0,3.362
01:41.9,3/5/2019,12:26:19,249129.65,947826.97,64.405,119.7,0.7,311.7,-5.3,-0.8,-1056,0,3.406
01:42.9,3/5/2019,12:26:20,249129.35,947826.8,64.405,120,0.7,312.3,-4.9,-0.9,-1056,0,3.068
01:43.9,3/5/2019,12:26:21,249129.41,947826.84,64.405,119.8,28.2,314.4,-4.8,-1.5,-1055,-3,3.138
01:44.9,3/5/2019,12:26:22,249129.45,947826.86,64.405,119.8,25.9,315.1,-3.9,-2,-1055,-3,3.186
01:45.9,3/5/2019,12:26:23,249129.47,947826.85,64.405,119.9,0.7,314.3,-1.2,-0.9,-1055,0,3.199
01:46.9,3/5/2019,12:26:24,249129.7,947827.2,64.405,119.5,26.3,313.3,1.9,-0.8,-1055,0,3.588
01:47.9,3/5/2019,12:26:25,249129.68,947827.15,64.405,119.4,37.2,311.9,0.7,-2,-1055,-6,3.545
01:48.9,3/5/2019,12:26:26,249129.82,947826.73,64.405,119.7,40.2,310.4,2.2,-3.2,-1055,-3,3.397
01:49.9,3/5/2019,12:26:27,249129.32,947826.64,64.405,119.4,33.4,310,1.7,-3.1,-1055,-3,2.944
01:50.9,3/5/2019,12:26:28,249129.33,947826.64,64.405,119.3,34.5,310,1.7,-2.3,-1055,-3,2.953
01:51.9,3/5/2019,12:26:29,249129.21,947826.32,64.405,119.5,36.6,309.9,1.9,-1.6,-1055,-3,2.664
01:52.9,3/5/2019,12:26:30,249129.26,947826.33,64.405,119.3,38.4,309.9,1.8,-1.7,-1055,-3,2.708
01:53.9,3/5/2019,12:26:31,249129.75,947826.58,64.404,119.2,41.7,310,1.8,-2,-1055,-3,3.246
01:54.9,3/5/2019,12:26:32,249129.72,947826.58,64.405,119.5,37.4,309.9,1.5,-1.4,-1055,-3,3.228
01:55.9,3/5/2019,12:26:33,249129.66,947827.08,64.405,120,35.4,310,1.1,-1.6,-1056,-3,3.486
01:56.9,3/5/2019,12:26:34,249129.62,947827.03,64.405,120.1,31.6,310.1,-1.3,-2.1,-1056,-3,3.425
01:57.9,3/5/2019,12:26:35,249129.13,947826.79,64.405,120.9,0.7,310.9,-4.9,-1.2,-1056,-3,2.89
01:58.9,3/5/2019,12:26:36,249129.16,947826.8,64.405,119.8,0.7,312.3,-7.3,-0.2,-1055,-3,2.914
01:59.9,3/5/2019,12:26:37,249129.13,947826.61,64.405,119.5,0.7,313.4,-7.9,-1.3,-1055,-3,2.778
02:00.9,3/5/2019,12:26:38,249129.38,947827.28,64.405,119.8,0.8,314,-6.8,-1.7,-1055,-3,3.384
02:01.9,3/5/2019,12:26:39,249129.36,947827.32,64.405,119.8,0.8,313.7,-5.6,-1.5,-1055,0,3.396
02:02.9,3/5/2019,12:26:40,249129.18,947827.72,64.406,120.2,0.8,312.8,-5.6,-1.6,-1055,0,3.501
02:03.9,3/5/2019,12:26:41,249129.12,947827.73,64.406,119.7,0.8,311.7,-6,-1.6,-1055,-3,3.457
02:04.9,3/5/2019,12:26:42,249128.7,947827.45,64.406,119.7,0.8,311.2,-6.4,-1.5,-1055,-3,2.957
02:05.9,3/5/2019,12:26:43,249128.67,947827.4,64.406,120.1,0.8,311.3,-6.4,-1.4,-1055,-3,2.901
02:06.9,3/5/2019,12:26:44,249128.53,947827.31,64.406,119.8,0.8,311.8,-6,-1.7,-1056,-3,2.735
02:07.9,3/5/2019,12:26:45,249128.54,947827.34,64.406,119.8,0.8,312.7,-5.7,-2,-1056,-3,2.76
02:08.9,3/5/2019,12:26:46,249128.96,947827.65,64.406,120.5,0.7,314.9,-6,-1.9,-1056,-3,3.279
02:09.9,3/5/2019,12:26:47,249128.93,947827.7,64.406,119.4,0.7,316.2,-6.4,-2.1,-1056,-3,3.29
02:10.9,3/5/2019,12:26:48,249128.8,947827.9,64.406,119.8,0.7,316.1,-6.3,-2,-1056,-3,3.314
02:11.9,3/5/2019,12:26:49,249128.71,947827.74,64.406,119.5,0.9,315.5,-4.5,-1.8,-1055,-3,3.144
02:12.9,3/5/2019,12:26:50,249128.67,947827.78,64.406,119.5,30.6,314.8,-1.7,-1.8,-1055,-3,3.134
02:13.9,3/5/2019,12:26:51,249128.98,947827.5,64.406,119.7,36.5,313.7,1.2,-2.5,-1055,-3,3.208
02:14.9,3/5/2019,12:26:52,249128.93,947827.47,64.406,119.6,36.3,313.2,1.7,-4.1,-1055,-3,3.151
02:15.9,3/5/2019,12:26:53,249128.97,947827.28,64.406,119.4,38,313.1,1.8,-3.9,-1055,-3,3.065
02:16.9,3/5/2019,12:26:54,249128.94,947827.3,64.406,119.4,33.8,313,1.7,-2.9,-1055,-6,3.055
02:17.9,3/5/2019,12:26:55,249129,947827.78,64.406,119.5,40.7,313,1.8,-1.9,-1055,-3,3.397
02:18.9,3/5/2019,12:26:56,249128.96,947827.74,64.406,119.8,36.9,312.8,2.5,-2.1,-1055,-3,3.341
02:19.9,3/5/2019,12:26:57,249129.03,947827.39,64.406,119.5,36.9,312.7,2.4,-2.6,-1055,-3,3.178
02:20.9,3/5/2019,12:26:58,249129,947827.09,64.405,119.3,35.3,312.8,2.5,-2.8,-1055,-3,2.968
02:21.9,3/5/2019,12:26:59,249129.01,947827.13,64.405,119.7,35.8,312.8,2.6,-2.5,-1055,-3,3.002
02:22.9,3/5/2019,12:27:00,249129.19,947827.25,64.405,119.6,41.2,312.6,1.6,-2.1,-1055,-3,3.217
02:23.9,3/5/2019,12:27:01,249129.15,947827.22,64.405,120,39.6,312,1,-1.5,-1055,-3,3.165
02:24.9,3/5/2019,12:27:02,249128.99,947827.8,64.406,120.1,39.4,311.5,-0.5,-1.6,-1055,-3,3.402
02:25.9,3/5/2019,12:27:03,249128.98,947827.77,64.406,120,0.9,311.2,-3.9,-1.8,-1055,0,3.371
02:26.9,3/5/2019,12:27:04,249129.01,947827.61,64.406,120.1,0.7,311.4,-6.9,-1.9,-1055,-3,3.299
02:27.9,3/5/2019,12:27:05,249129.02,947827.6,64.406,119.6,0.7,311.8,-7.9,-1.6,-1055,-3,3.3
02:28.9,3/5/2019,12:27:06,249128.76,947827.2,64.406,120.2,0.7,312.2,-6.8,-1.3,-1055,-3,2.849
02:29.9,3/5/2019,12:27:07,249128.77,947827.24,64.406,119.9,0.8,312.4,-5.5,-1.9,-1055,-3,2.883
02:30.9,3/5/2019,12:27:08,249128.65,947828,64.406,119.8,0.8,313,-5.1,-1.3,-1055,-3,3.256
02:31.9,3/5/2019,12:27:09,249128.81,947828.17,64.406,119.6,0.7,312.9,-5.8,-1.8,-1055,-3,3.487
02:32.9,3/5/2019,12:27:10,249128.81,947828.13,64.406,119.7,0.8,312.5,-6.5,-1.7,-1055,-3,3.456
02:33.9,3/5/2019,12:27:11,249128.45,947828.1,64.406,120,0.7,311.6,-6.5,-0.8,-1055,-3,3.154
02:34.9,3/5/2019,12:27:12,249128.43,947828.07,64.406,119.6,0.7,310.8,-6.2,-1.2,-1055,-3,3.126
02:35.9,3/5/2019,12:27:13,249128.08,947828.21,64.407,120.1,0.7,310.7,-5.9,-1.7,-1055,-3,2.93
02:36.9,3/5/2019,12:27:14,249128.11,947828.2,64.407,120.3,0.7,311.2,-5.7,-1.3,-1055,-3,2.952
02:37.9,3/5/2019,12:27:15,249128.5,947828.41,64.407,120.7,0.7,311.9,-6.3,-1.5,-1055,-3,3.385
02:38.9,3/5/2019,12:27:16,249128.49,947828.42,64.407,119.6,0.7,312,-6.5,-1.7,-1055,-3,3.389
02:39.9,3/5/2019,12:27:17,249128.14,947828.91,64.407,119.3,0.7,312,-6.4,-1.5,-1056,-3,3.411
02:40.9,3/5/2019,12:27:18,249128.17,947828.87,64.407,119.5,0.7,312.5,-6.1,-1.8,-1056,-3,3.408
02:41.9,3/5/2019,12:27:19,249128.07,947828.61,64.407,120.5,0.7,314.5,-6,-2.5,-1056,-3,3.17
02:42.9,3/5/2019,12:27:20,249128.27,947828.18,64.407,119.3,0.7,316,-6.3,-2.4,-1055,-3,3.071
02:43.9,3/5/2019,12:27:21,249128.25,947828.19,64.407,119.8,0.9,315.8,-4.6,-2.2,-1055,-3,3.053
02:44.9,3/5/2019,12:27:22,249127.97,947828.76,64.407,119.4,0.8,314.7,-3.1,-2.3,-1055,-3,3.19
02:45.9,3/5/2019,12:27:23,249127.98,947828.77,64.407,119.4,42.5,313.5,-0.2,-2.8,-1055,0,3.198
02:46.9,3/5/2019,12:27:24,249128.62,947828.8,64.407,119.7,35.3,313.4,1.2,-3.5,-1055,-6,3.722
02:47.9,3/5/2019,12:27:25,249128.62,947828.78,64.407,119.5,39.4,313.1,1.7,-4,-1055,-6,3.71
02:48.9,3/5/2019,12:27:26,249128.53,947828.54,64.407,119.4,29.8,313.3,2.1,-3.6,-1055,-6,3.493
02:49.9,3/5/2019,12:27:27,249128.51,947828.51,64.407,119.5,32.4,313.2,2.2,-3.1,-1055,-6,3.455
02:50.9,3/5/2019,12:27:28,249128.23,947828.45,64.407,119.7,38.7,313.2,2,-2.8,-1055,-6,3.203
02:51.9,3/5/2019,12:27:29,249128.23,947828.45,64.407,119.6,37.3,313.1,1.9,-2.8,-1055,-6,3.201
02:52.9,3/5/2019,12:27:30,249128.29,947828.31,64.407,119.6,33.4,313.1,1.9,-3,-1055,-6,3.159
02:53.9,3/5/2019,12:27:31,249128.26,947828.45,64.407,119.5,39.3,313.1,1.9,-2.9,-1055,-6,3.221
02:54.9,3/5/2019,12:27:32,249128.24,947828.49,64.407,119.3,34.3,313.2,1.7,-2.9,-1055,-6,3.234
02:55.9,3/5/2019,12:27:33,249128.3,947828.54,64.407,119.7,38.9,313.1,1.8,-2.5,-1055,-6,3.309
02:56.9,3/5/2019,12:27:34,249128.28,947828.54,64.407,119.7,34.3,313.1,2,-2.2,-1055,-3,3.295
02:57.9,3/5/2019,12:27:35,249128.13,947828.38,64.407,119.5,34.5,312.9,1.4,-2.1,-1055,-6,3.079
02:58.9,3/5/2019,12:27:36,249128.13,947828.37,64.407,119.3,38.6,312.8,1.7,-2.3,-1055,-9,3.069
02:59.9,3/5/2019,12:27:37,249128.31,947828.15,64.407,119.4,33.4,312.9,1.7,-2,-1055,-9,3.082
03:00.9,3/5/2019,12:27:38,249128.29,947828.13,64.407,119.3,33,312.9,2.4,-1.8,-1055,-9,3.049
03:01.9,3/5/2019,12:27:39,249128.41,947828.87,64.407,119.3,36.7,312.4,2.1,-2.1,-1055,-9,3.595
03:02.9,3/5/2019,12:27:40,249128.37,947828.81,64.407,119.5,39.3,312.6,2.3,-1.7,-1055,-9,3.533
03:03.9,3/5/2019,12:27:41,249128.35,947828.53,64.407,119.6,31.2,312.6,2.4,-1.4,-1055,-9,3.345
03:04.9,3/5/2019,12:27:42,249128.02,947828,64.407,119.7,39.6,312.6,2.2,-1.2,-1055,-9,2.761
03:05.9,3/5/2019,12:27:43,249127.98,947828.02,64.407,119.8,34,312.5,2.2,-1.3,-1055,-9,2.741
03:06.9,3/5/2019,12:27:44,249127.98,947828.28,64.407,119.7,38,312.5,2.1,-1.6,-1056,-6,2.895
03:07.9,3/5/2019,12:27:45,249127.97,947828.27,64.407,119.7,35.4,312.6,1.9,-1.4,-1056,-9,2.88
03:08.9,3/5/2019,12:27:46,249128.57,947828.73,64.407,119.7,37.3,312.6,2.2,-1.5,-1056,-9,3.644
03:09.9,3/5/2019,12:27:47,249128.53,947828.73,64.407,119.6,36.7,312.6,2.3,-1.6,-1056,-9,3.607
03:10.9,3/5/2019,12:27:48,249128.43,947828.66,64.407,119.6,38.3,312.7,2.3,-1.4,-1056,-9,3.488
03:11.9,3/5/2019,12:27:49,249128.37,947828.65,64.407,119.3,33.6,312.7,2.4,-1.5,-1056,-9,3.432
03:12.9,3/5/2019,12:27:50,249127.98,947828.13,64.407,119.3,36.7,312.7,2.3,-1.6,-1056,-6,2.801
03:13.9,3/5/2019,12:27:51,249128.02,947828.08,64.407,119.3,34.6,312.6,2.2,-1.5,-1055,-9,2.804
03:14.9,3/5/2019,12:27:52,249127.98,947828.13,64.407,119.6,35.5,312.6,2.1,-1.5,-1055,-9,2.809
03:15.9,3/5/2019,12:27:53,249128.5,947828.92,64.407,119.4,38.7,312.5,1,-1.7,-1055,-6,3.699
03:16.9,3/5/2019,12:27:54,249128.46,947828.9,64.407,119.7,35.9,312.2,1.4,-1.8,-1055,-6,3.663
03:17.9,3/5/2019,12:27:55,249128.48,947828.55,64.407,119.6,37.7,312.2,1.5,-2,-1055,-6,3.458
03:18.9,3/5/2019,12:27:56,249128.43,947828.54,64.407,119.7,37.3,312.1,1.5,-1.8,-1055,-9,3.413
03:19.9,3/5/2019,12:27:57,249127.95,947827.9,64.407,119.5,35.9,312.1,1.6,-2,-1055,-12,2.636
03:20.9,3/5/2019,12:27:58,249127.92,947827.9,64.407,119.5,38.9,312.2,2.1,-2,-1055,-12,2.618
03:21.9,3/5/2019,12:27:59,249128.02,947828.39,64.407,119.3,39,312.2,2.6,-2.2,-1055,-9,2.996
03:22.9,3/5/2019,12:28:00,249128.04,947828.38,64.407,119.7,26.8,311.8,2.4,-2.8,-1055,-12,3.003
03:23.9,3/5/2019,12:28:01,249129,947828.66,64.407,119.5,21.5,311.6,2.5,-2.6,-1055,-9,3.934
03:24.9,3/5/2019,12:28:02,249128.73,947828.68,64.407,119.2,21.6,311.6,2.5,-1.9,-1055,-9,3.734
03:25.9,3/5/2019,12:28:03,249128.65,947828.68,64.407,119.7,21,311.6,2.5,-1.4,-1056,-9,3.669
03:26.9,3/5/2019,12:28:04,249127.67,947828.29,64.407,119.7,24.4,311.6,2.4,-1.2,-1056,-9,2.659
03:27.9,3/5/2019,12:28:05,249127.7,947828.26,64.407,119.2,24,311.6,2.4,-1.9,-1056,-12,2.669
03:28.9,3/5/2019,12:28:06,249128.45,947828.28,64.407,119.3,19.9,311.5,2.2,-2.3,-1056,-9,3.268
03:29.9,3/5/2019,12:28:07,249128.47,947828.28,64.407,119.5,21.2,311.5,2.6,-2.6,-1056,-12,3.279
03:30.9,3/5/2019,12:28:08,249128.78,947828.8,64.407,119.5,21.8,311.5,2.5,-2.6,-1056,-12,3.851
03:31.9,3/5/2019,12:28:09,249128.77,947828.79,64.407,119.8,21.5,311.6,2.5,-2.7,-1056,-12,3.832
03:32.9,3/5/2019,12:28:10,249128.57,947828.93,64.407,119.3,22.2,311.6,2.2,-2.7,-1056,-12,3.769
03:33.9,3/5/2019,12:28:11,249128.57,947828.93,64.407,119.6,21.9,311.5,2.2,-2.5,-1056,-12,3.766
03:34.9,3/5/2019,12:28:12,249128.2,947828.19,64.407,119.9,21.9,311.5,2.4,-2.4,-1056,-12,3.017
