ASFIndex,DATE,TIME,E,N,KP,DEPTH,ALT,GYRO,PITCH,ROLL,CP,FG,DCC
00:02:01.878,03/05/2019,12:26:40,249129.18,947827.72,64.406,120.2,0.8,312.8,-5.6,-1.6,-1055,0,3.501
00:02:02.878,03/05/2019,12:26:41,249129.12,947827.73,64.406,119.7,0.8,311.7,-6.0,-1.6,-1055,-3,3.457
00:02:03.878,03/05/2019,12:26:42,249128.70,947827.45,64.406,119.7,0.8,311.2,-6.4,-1.5,-1055,-3,2.957
00:02:04.878,03/05/2019,12:26:43,249128.67,947827.40,64.406,120.1,0.8,311.3,-6.4,-1.4,-1055,-3,2.901
00:02:05.878,03/05/2019,12:26:44,249128.53,947827.31,64.406,119.8,0.8,311.8,-6.0,-1.7,-1056,-3,2.735
00:02:06.878,03/05/2019,12:26:45,249128.54,947827.34,64.406,119.8,0.8,312.7,-5.7,-2.0,-1056,-3,2.760
00:02:07.878,03/05/2019,12:26:46,249128.96,947827.65,64.406,120.5,0.7,314.9,-6.0,-1.9,-1056,-3,3.279
00:02:08.878,03/05/2019,12:26:47,249128.93,947827.70,64.406,119.4,0.7,316.2,-6.4,-2.1,-1056,-3,3.290
00:02:09.878,03/05/2019,12:26:48,249128.80,947827.90,64.406,119.8,0.7,316.1,-6.3,-2.0,-1056,-3,3.314
00:02:10.878,03/05/2019,12:26:49,249128.71,947827.74,64.406,119.5,0.9,315.5,-4.5,-1.8,-1055,-3,3.144
00:02:11.878,03/05/2019,12:26:50,249128.67,947827.78,64.406,119.5,30.6,314.8,-1.7,-1.8,-1055,-3,3.134
00:02:12.878,03/05/2019,12:26:51,249128.98,947827.50,64.406,119.7,36.5,313.7,1.2,-2.5,-1055,-3,3.208
00:02:13.878,03/05/2019,12:26:52,249128.93,947827.47,64.406,119.6,36.3,313.2,1.7,-4.1,-1055,-3,3.151
00:02:14.878,03/05/2019,12:26:53,249128.97,947827.28,64.406,119.4,38.0,313.1,1.8,-3.9,-1055,-3,3.065
00:02:15.878,03/05/2019,12:26:54,249128.94,947827.30,64.406,119.4,33.8,313.0,1.7,-2.9,-1055,-6,3.055
00:02:16.878,03/05/2019,12:26:55,249129.00,947827.78,64.406,119.5,40.7,313.0,1.8,-1.9,-1055,-3,3.397
00:02:17.878,03/05/2019,12:26:56,249128.96,947827.74,64.406,119.8,36.9,312.8,2.5,-2.1,-1055,-3,3.341
00:02:18.878,03/05/2019,12:26:57,249129.03,947827.39,64.406,119.5,36.9,312.7,2.4,-2.6,-1055,-3,3.178
00:02:19.878,03/05/2019,12:26:58,249129.00,947827.09,64.405,119.3,35.3,312.8,2.5,-2.8,-1055,-3,2.968
00:02:20.878,03/05/2019,12:26:59,249129.01,947827.13,64.405,119.7,35.8,312.8,2.6,-2.5,-1055,-3,3.002
00:02:21.878,03/05/2019,12:27:00,249129.19,947827.25,64.405,119.6,41.2,312.6,1.6,-2.1,-1055,-3,3.217
00:02:22.878,03/05/2019,12:27:01,249129.15,947827.22,64.405,120.0,39.6,312.0,1.0,-1.5,-1055,-3,3.165
00:02:23.878,03/05/2019,12:27:02,249128.99,947827.80,64.406,120.1,39.4,311.5,-0.5,-1.6,-1055,-3,3.402
00:02:24.878,03/05/2019,12:27:03,249128.98,947827.77,64.406,120.0,0.9,311.2,-3.9,-1.8,-1055,0,3.371
00:02:25.878,03/05/2019,12:27:04,249129.01,947827.61,64.406,120.1,0.7,311.4,-6.9,-1.9,-1055,-3,3.299
00:02:26.878,03/05/2019,12:27:05,249129.02,947827.60,64.406,119.6,0.7,311.8,-7.9,-1.6,-1055,-3,3.300
00:02:27.878,03/05/2019,12:27:06,249128.76,947827.20,64.406,120.2,0.7,312.2,-6.8,-1.3,-1055,-3,2.849
00:02:28.878,03/05/2019,12:27:07,249128.77,947827.24,64.406,119.9,0.8,312.4,-5.5,-1.9,-1055,-3,2.883
00:02:29.878,03/05/2019,12:27:08,249128.65,947828.00,64.406,119.8,0.8,313.0,-5.1,-1.3,-1055,-3,3.256
00:02:30.878,03/05/2019,12:27:09,249128.81,947828.17,64.406,119.6,0.7,312.9,-5.8,-1.8,-1055,-3,3.487
00:02:31.878,03/05/2019,12:27:10,249128.81,947828.13,64.406,119.7,0.8,312.5,-6.5,-1.7,-1055,-3,3.456
00:02:32.878,03/05/2019,12:27:11,249128.45,947828.10,64.406,120.0,0.7,311.6,-6.5,-0.8,-1055,-3,3.154
00:02:33.878,03/05/2019,12:27:12,249128.43,947828.07,64.406,119.6,0.7,310.8,-6.2,-1.2,-1055,-3,3.126
00:02:34.878,03/05/2019,12:27:13,249128.08,947828.21,64.407,120.1,0.7,310.7,-5.9,-1.7,-1055,-3,2.930
00:02:35.878,03/05/2019,12:27:14,249128.11,947828.20,64.407,120.3,0.7,311.2,-5.7,-1.3,-1055,-3,2.952
00:02:36.878,03/05/2019,12:27:15,249128.50,947828.41,64.407,120.7,0.7,311.9,-6.3,-1.5,-1055,-3,3.385
00:02:37.878,03/05/2019,12:27:16,249128.49,947828.42,64.407,119.6,0.7,312.0,-6.5,-1.7,-1055,-3,3.389
00:02:38.878,03/05/2019,12:27:17,249128.14,947828.91,64.407,119.3,0.7,312.0,-6.4,-1.5,-1056,-3,3.411
00:02:39.878,03/05/2019,12:27:18,249128.17,947828.87,64.407,119.5,0.7,312.5,-6.1,-1.8,-1056,-3,3.408
00:02:40.878,03/05/2019,12:27:19,249128.07,947828.61,64.407,120.5,0.7,314.5,-6.0,-2.5,-1056,-3,3.170
00:02:41.878,03/05/2019,12:27:20,249128.27,947828.18,64.407,119.3,0.7,316.0,-6.3,-2.4,-1055,-3,3.071
00:02:42.878,03/05/2019,12:27:21,249128.25,947828.19,64.407,119.8,0.9,315.8,-4.6,-2.2,-1055,-3,3.053
00:02:43.878,03/05/2019,12:27:22,249127.97,947828.76,64.407,119.4,0.8,314.7,-3.1,-2.3,-1055,-3,3.190
00:02:44.878,03/05/2019,12:27:23,249127.98,947828.77,64.407,119.4,42.5,313.5,-0.2,-2.8,-1055,0,3.198
00:02:45.878,03/05/2019,12:27:24,249128.62,947828.80,64.407,119.7,35.3,313.4,1.2,-3.5,-1055,-6,3.722
00:02:46.878,03/05/2019,12:27:25,249128.62,947828.78,64.407,119.5,39.4,313.1,1.7,-4.0,-1055,-6,3.710
00:02:47.878,03/05/2019,12:27:26,249128.53,947828.54,64.407,119.4,29.8,313.3,2.1,-3.6,-1055,-6,3.493
00:02:48.878,03/05/2019,12:27:27,249128.51,947828.51,64.407,119.5,32.4,313.2,2.2,-3.1,-1055,-6,3.455
00:02:49.878,03/05/2019,12:27:28,249128.23,947828.45,64.407,119.7,38.7,313.2,2.0,-2.8,-1055,-6,3.203
00:02:50.878,03/05/2019,12:27:29,249128.23,947828.45,64.407,119.6,37.3,313.1,1.9,-2.8,-1055,-6,3.201
00:02:51.878,03/05/2019,12:27:30,249128.29,947828.31,64.407,119.6,33.4,313.1,1.9,-3.0,-1055,-6,3.159
00:02:52.878,03/05/2019,12:27:31,249128.26,947828.45,64.407,119.5,39.3,313.1,1.9,-2.9,-1055,-6,3.221
00:02:53.878,03/05/2019,12:27:32,249128.24,947828.49,64.407,119.3,34.3,313.2,1.7,-2.9,-1055,-6,3.234
00:02:54.878,03/05/2019,12:27:33,249128.30,947828.54,64.407,119.7,38.9,313.1,1.8,-2.5,-1055,-6,3.309
00:02:55.878,03/05/2019,12:27:34,249128.28,947828.54,64.407,119.7,34.3,313.1,2.0,-2.2,-1055,-3,3.295
00:02:56.878,03/05/2019,12:27:35,249128.13,947828.38,64.407,119.5,34.5,312.9,1.4,-2.1,-1055,-6,3.079
00:02:57.878,03/05/2019,12:27:36,249128.13,947828.37,64.407,119.3,38.6,312.8,1.7,-2.3,-1055,-9,3.069
00:02:58.878,03/05/2019,12:27:37,249128.31,947828.15,64.407,119.4,33.4,312.9,1.7,-2.0,-1055,-9,3.082
00:02:59.878,03/05/2019,12:27:38,249128.29,947828.13,64.407,119.3,33.0,312.9,2.4,-1.8,-1055,-9,3.049
00:03:00.878,03/05/2019,12:27:39,249128.41,947828.87,64.407,119.3,36.7,312.4,2.1,-2.1,-1055,-9,3.595
00:03:01.878,03/05/2019,12:27:40,249128.37,947828.81,64.407,119.5,39.3,312.6,2.3,-1.7,-1055,-9,3.533
00:03:02.878,03/05/2019,12:27:41,249128.35,947828.53,64.407,119.6,31.2,312.6,2.4,-1.4,-1055,-9,3.345
00:03:03.878,03/05/2019,12:27:42,249128.02,947828.00,64.407,119.7,39.6,312.6,2.2,-1.2,-1055,-9,2.761
00:03:04.878,03/05/2019,12:27:43,249127.98,947828.02,64.407,119.8,34.0,312.5,2.2,-1.3,-1055,-9,2.741
00:03:05.878,03/05/2019,12:27:44,249127.98,947828.28,64.407,119.7,38.0,312.5,2.1,-1.6,-1056,-6,2.895
00:03:06.878,03/05/2019,12:27:45,249127.97,947828.27,64.407,119.7,35.4,312.6,1.9,-1.4,-1056,-9,2.880
00:03:07.878,03/05/2019,12:27:46,249128.57,947828.73,64.407,119.7,37.3,312.6,2.2,-1.5,-1056,-9,3.644
00:03:08.878,03/05/2019,12:27:47,249128.53,947828.73,64.407,119.6,36.7,312.6,2.3,-1.6,-1056,-9,3.607
00:03:09.878,03/05/2019,12:27:48,249128.43,947828.66,64.407,119.6,38.3,312.7,2.3,-1.4,-1056,-9,3.488
00:03:10.878,03/05/2019,12:27:49,249128.37,947828.65,64.407,119.3,33.6,312.7,2.4,-1.5,-1056,-9,3.432
00:03:11.878,03/05/2019,12:27:50,249127.98,947828.13,64.407,119.3,36.7,312.7,2.3,-1.6,-1056,-6,2.801
00:03:12.878,03/05/2019,12:27:51,249128.02,947828.08,64.407,119.3,34.6,312.6,2.2,-1.5,-1055,-9,2.804
00:03:13.878,03/05/2019,12:27:52,249127.98,947828.13,64.407,119.6,35.5,312.6,2.1,-1.5,-1055,-9,2.809
00:03:14.878,03/05/2019,12:27:53,249128.50,947828.92,64.407,119.4,38.7,312.5,1.0,-1.7,-1055,-6,3.699
00:03:15.878,03/05/2019,12:27:54,249128.46,947828.90,64.407,119.7,35.9,312.2,1.4,-1.8,-1055,-6,3.663
00:03:16.878,03/05/2019,12:27:55,249128.48,947828.55,64.407,119.6,37.7,312.2,1.5,-2.0,-1055,-6,3.458
00:03:17.878,03/05/2019,12:27:56,249128.43,947828.54,64.407,119.7,37.3,312.1,1.5,-1.8,-1055,-9,3.413
00:03:18.878,03/05/2019,12:27:57,249127.95,947827.90,64.407,119.5,35.9,312.1,1.6,-2.0,-1055,-12,2.636
00:03:19.878,03/05/2019,12:27:58,249127.92,947827.90,64.407,119.5,38.9,312.2,2.1,-2.0,-1055,-12,2.618
00:03:20.878,03/05/2019,12:27:59,249128.02,947828.39,64.407,119.3,39.0,312.2,2.6,-2.2,-1055,-9,2.996
00:03:21.878,03/05/2019,12:28:00,249128.04,947828.38,64.407,119.7,26.8,311.8,2.4,-2.8,-1055,-12,3.003
00:03:22.878,03/05/2019,12:28:01,249129.00,947828.66,64.407,119.5,21.5,311.6,2.5,-2.6,-1055,-9,3.934
00:03:23.878,03/05/2019,12:28:02,249128.73,947828.68,64.407,119.2,21.6,311.6,2.5,-1.9,-1055,-9,3.734
00:03:24.878,03/05/2019,12:28:03,249128.65,947828.68,64.407,119.7,21.0,311.6,2.5,-1.4,-1056,-9,3.669
00:03:25.878,03/05/2019,12:28:04,249127.67,947828.29,64.407,119.7,24.4,311.6,2.4,-1.2,-1056,-9,2.659
